,labels,true_neg,false_neg,true_pos,false_pos,precision,recall,f_1
0,Unknown,2677,383,2060,394,0.8394458027709861,0.8432255423659435,0.8413314274045333
1,Feminine,5374,81,47,12,0.7966101694915254,0.3671875,0.5026737967914439
2,Masculine,4931,110,413,60,0.8731501057082452,0.7896749521988528,0.8293172690763052
