,language,collection_count
0,English,6409
4,French,2276
3,German,1892
6,Latin,1352
24,Polish,1100
23,Swedish,1100
7,Italian,899
13,Scots,564
10,Scottish Gaelic,560
15,Russian,498
12,Irish Gaelic,399
14,Scots dialect,399
11,Czech,399
9,Scots Dialect,399
25,Mostly English,224
5,Multiple languages,174
26,Burmese,161
2,Hebrew,156
21,Dutch,81
22,Flemish,81
1,Greek,75
27,Spanish,63
8,,17
19,English Gaelic,8
20,Gaelic Scottish Gaelic,8
17,Arabic,6
18,Swahili,3
16,Bemba,1
