,language,collection_count
0,English,1677
13,French,295
3,German,210
6,Italian,158
5,Latin,156
12,Scots,111
9,Scottish Gaelic,110
15,Russian,86
24,Polish,83
23,Swedish,83
4,Multiple languages,64
26,Burmese,58
25,Mostly English,58
14,Scots dialect,52
11,Irish Gaelic,52
10,Czech,52
8,Scots Dialect,52
2,Hebrew,43
1,Greek,35
21,Dutch,8
22,Flemish,8
16,Bemba,5
17,Arabic,5
19,English Gaelic,5
20,Gaelic Scottish Gaelic,5
18,Swahili,4
7,,1
