,labels,true_neg,false_neg,true_pos,false_pos,precision,recall,f_1
0,Omission,4631,362,442,79,0.8483685220729367,0.5497512437810945,0.6671698113207547
1,Stereotype,5182,95,220,17,0.9282700421940928,0.6984126984126984,0.7971014492753623
