,labels,true_neg,false_neg,true_pos,false_pos,precision,recall,f_1
0,Omission,4649,409,395,61,0.8662280701754386,0.49129353233830847,0.626984126984127
1,Stereotype,5193,124,191,6,0.9695431472081218,0.6063492063492063,0.7460937499999999
